timestamp,event_type,package
2026-03-02 17:26:18,SCREEN_NON_INTERACTIVE,android
2026-03-02 17:26:19,ACTIVITY_PAUSED,in.startv.hotstar
2026-03-02 17:26:19,ACTIVITY_STOPPED,in.startv.hotstar
2026-03-02 17:26:19,KEYGUARD_SHOWN,android
2026-03-02 17:26:19,CONFIGURATION_CHANGE,android
2026-03-02 17:27:14,ACTIVITY_RESUMED,in.startv.hotstar
2026-03-02 17:27:14,SCREEN_INTERACTIVE,android
2026-03-02 17:27:14,CONFIGURATION_CHANGE,android
2026-03-02 17:27:14,KEYGUARD_HIDDEN,android
2026-03-02 17:27:50,STANDBY_BUCKET_CHANGED,com.snapchat.android
2026-03-02 17:30:36,KEYGUARD_SHOWN,android
2026-03-02 17:30:36,ACTIVITY_STOPPED,in.startv.hotstar
2026-03-02 17:30:36,SCREEN_NON_INTERACTIVE,android
2026-03-02 17:30:36,ACTIVITY_PAUSED,in.startv.hotstar
2026-03-02 17:30:37,CONFIGURATION_CHANGE,android
2026-03-02 17:33:33,NOTIFICATION_INTERRUPTION,com.google.android.youtube
2026-03-02 17:33:33,SCREEN_INTERACTIVE,android
2026-03-02 17:33:33,NOTIFICATION_SEEN,com.google.android.youtube
2026-03-02 17:33:43,SCREEN_NON_INTERACTIVE,android
2026-03-02 17:35:16,STANDBY_BUCKET_CHANGED,com.android.camera
2026-03-02 17:35:25,STANDBY_BUCKET_CHANGED,com.google.android.gm
2026-03-02 17:36:44,STANDBY_BUCKET_CHANGED,in.startv.hotstar
2026-03-02 17:40:46,NOTIFICATION_INTERRUPTION,com.linkedin.android
2026-03-02 17:40:49,FOREGROUND_SERVICE_START,com.whatsapp
2026-03-02 17:40:50,STANDBY_BUCKET_CHANGED,com.google.android.gm
2026-03-02 17:40:50,SHORTCUT_INVOCATION,com.whatsapp
2026-03-02 17:40:50,NOTIFICATION_INTERRUPTION,com.whatsapp
2026-03-02 17:40:50,SCREEN_INTERACTIVE,android
2026-03-02 17:40:50,NOTIFICATION_SEEN,com.whatsapp
2026-03-02 17:40:50,STANDBY_BUCKET_CHANGED,in.startv.hotstar
2026-03-02 17:40:52,FOREGROUND_SERVICE_STOP,com.whatsapp
2026-03-02 17:40:59,SHORTCUT_INVOCATION,com.whatsapp
2026-03-02 17:41:00,SCREEN_NON_INTERACTIVE,android
2026-03-02 17:41:07,KEYGUARD_HIDDEN,android
2026-03-02 17:41:07,CONFIGURATION_CHANGE,android
2026-03-02 17:41:07,SCREEN_INTERACTIVE,android
2026-03-02 17:41:07,ACTIVITY_RESUMED,in.startv.hotstar
2026-03-02 17:41:11,ACTIVITY_RESUMED,com.mi.android.globallauncher
2026-03-02 17:41:12,ACTIVITY_PAUSED,com.mi.android.globallauncher
2026-03-02 17:41:12,ACTIVITY_STOPPED,com.mi.android.globallauncher
2026-03-02 17:41:12,ACTIVITY_RESUMED,com.mi.android.globallauncher
2026-03-02 17:41:13,CONFIGURATION_CHANGE,android
2026-03-02 17:41:13,ACTIVITY_PAUSED,in.startv.hotstar
2026-03-02 17:41:13,ACTIVITY_STOPPED,in.startv.hotstar
2026-03-02 17:41:17,ACTIVITY_RESUMED,com.whatsapp
2026-03-02 17:41:17,ACTIVITY_PAUSED,com.whatsapp
2026-03-02 17:41:17,ACTIVITY_PAUSED,com.mi.android.globallauncher
2026-03-02 17:41:17,USER_INTERACTION,com.whatsapp
2026-03-02 17:41:17,ACTIVITY_RESUMED,com.whatsapp
2026-03-02 17:41:18,ACTIVITY_STOPPED,com.whatsapp
2026-03-02 17:41:18,ACTIVITY_STOPPED,com.mi.android.globallauncher
2026-03-02 17:41:19,ACTIVITY_PAUSED,com.whatsapp
2026-03-02 17:41:19,ACTIVITY_RESUMED,com.whatsapp
2026-03-02 17:41:19,ACTIVITY_PAUSED,com.whatsapp
2026-03-02 17:41:19,ACTIVITY_RESUMED,com.whatsapp
2026-03-02 17:41:20,ACTIVITY_STOPPED,com.whatsapp
2026-03-02 17:41:20,ACTIVITY_STOPPED,com.whatsapp
2026-03-02 17:41:38,STANDBY_BUCKET_CHANGED,com.miui.gallery
2026-03-02 17:41:38,STANDBY_BUCKET_CHANGED,com.google.android.apps.wellbeing
2026-03-02 17:41:38,STANDBY_BUCKET_CHANGED,com.android.chrome
